Gene_symbol,Cell_type,Mean_log2_fold_change,Adjusted_p_value
Gpr141,Mono,5.386904161,2.00E-56
Cd244a,Mono,4.985584751,1.75E-50
Itgal,Mono,5.315623349,3.03E-45
Fgr,Mono,3.802335061,2.11E-44
Gm15987,Mono,3.939879656,1.01E-39
Pglyrp1,Mono,7.278636904,8.80E-33
Treml4,Mono,10.13019869,3.27E-31
Hp,Mono,5.232802062,1.71E-29
Plac8,Mono,5.098771582,4.83E-26
Sell,Mono,7.83058332,1.02E-25
Gm5150,Mono,3.560185371,3.06E-24
S100a9,Mono,6.911172241,1.12E-22
Gcnt2,Mono,4.249416904,7.09E-22
Ear2,Mono,8.885209247,1.16E-21
S1pr5,Mono,8.51857486,1.16E-21
Il1f9,Mono,9.645767117,9.24E-20
Napsa,Mono,4.133621468,9.36E-20
5830428M24Rik,Mono,6.170002756,1.44E-19
Cytip,Mono,3.197619926,6.06E-18
Itgax,Mono,3.531858402,1.02E-17
Mirt1,Mono,6.685770801,3.87E-16
Il1b,Mono,4.044208152,9.09E-16
S100a8,Mono,6.845720235,1.63E-15
Dpp4,Mono,4.429170501,4.82E-15
Flt3,Mono,5.223320986,6.19E-14
Trem3,Mono,7.993919083,6.88E-14
Btg1,Mono,2.138603706,7.65E-14
Clec4e,Mono,3.536955059,4.59E-13
Mbp,Mono,2.589373006,1.24E-12
H2-D1,Mono,1.221018316,1.38E-12
Rab11fip1,Mono,4.139982409,1.71E-12
Tmsb4x,Mono,0.966581399,2.20E-12
Gm42418,Mono,0.824371417,3.84E-12
Nlrp12,Mono,6.358126421,5.58E-12
Tmem156,Mono,4.151319604,9.32E-12
Fcgr4,Mono,3.690205485,1.28E-11
Klra2,Mono,3.243333891,1.94E-11
Ap1s3,Mono,4.509619947,2.58E-11
Cxcr2,Mono,6.462700402,3.42E-11
Cd52,Mono,2.60977406,1.26E-10
Mrgpra2a,Mono,9.651745389,2.88E-10
Slpi,Mono,4.340005334,3.06E-10
Psap,Mono,0.869651566,5.84E-10
Adgre4,Mono,3.05503683,1.22E-09
Sirpb1c,Mono,2.340591379,1.25E-09
Rpsa,Mono,1.313586901,1.55E-09
AY036118,Mono,0.780151024,3.06E-09
Atp1a3,Mono,4.415291021,4.86E-09
Mrgpra2b,Mono,6.449368226,6.67E-09
Gm2a,Mono,2.543070926,1.01E-08
Tacstd2,Mono,6.92815257,1.74E-08
Sirpb1a,Mono,2.523024518,1.88E-08
Mcemp1,Mono,5.327649966,2.62E-08
Sirpb1b,Mono,2.547601673,2.64E-08
Spata13,Mono,2.903049718,3.86E-08
Emb,Mono,2.42868209,3.90E-08
Grap2,Mono,2.486081601,4.44E-08
Itgb7,Mono,3.201056347,4.45E-08
Actb,Mono,1.01505495,5.26E-08
Selplg,Mono,2.268940282,5.80E-08
S100a6,Mono,1.577534218,7.00E-08
Srgn,Mono,2.091351097,1.19E-07
Fxyd5,Mono,1.98128806,1.21E-07
B2m,Mono,1.083841784,1.99E-07
Ccdc192,Mono,4.753308834,2.26E-07
Hdc,Mono,6.146755247,2.26E-07
Clec2g,Mono,2.701002619,2.42E-07
Ltb4r1,Mono,4.613918585,2.48E-07
Serpinb2,Mono,3.1169553,2.52E-07
Il18rap,Mono,4.72349658,2.77E-07
Fau,Mono,1.148938823,3.05E-07
Scnn1a,Mono,5.926651407,3.63E-07
Chil1,Mono,5.311359795,3.90E-07
Cyfip2,Mono,2.915083616,4.81E-07
Spn,Mono,2.556024976,5.67E-07
Fn1,Mono,1.772202315,6.16E-07
Wfdc21,Mono,5.628459142,1.17E-06
4931408C20Rik,Mono,8.293188002,1.82E-06
Il1r2,Mono,5.517401392,1.94E-06
Klri1,Mono,7.436014801,2.17E-06
Sorl1,Mono,3.436899576,3.09E-06
Dhrs9,Mono,4.491546065,3.76E-06
Tmsb10,Mono,1.827004483,3.78E-06
Csf3r,Mono,3.819223826,4.21E-06
Cd300e,Mono,5.190753622,4.98E-06
Mxd1,Mono,4.011447409,5.01E-06
Trim30b,Mono,4.171132205,6.53E-06
Slc16a3,Mono,3.312193067,9.58E-06
Rplp1,Mono,0.977864496,1.13E-05
Itpr1,Mono,1.837853929,1.18E-05
Relt,Mono,2.424873857,1.21E-05
S100a11,Mono,2.093620291,1.21E-05
Xylt1,Mono,1.520009921,1.23E-05
Ccr2,Mono,1.86943242,1.73E-05
Arhgap26,Mono,1.546082856,1.87E-05
Retnlg,Mono,8.895005471,1.87E-05
Pygl,Mono,3.456911451,1.90E-05
Abi3,Mono,2.239119375,1.95E-05
Ikzf3,Mono,5.223204126,2.01E-05
Ly6c2,Mono,5.905697468,2.10E-05
Pbxip1,Mono,2.076640837,2.56E-05
Slfn1,Mono,3.3113405,2.67E-05
Plcb1,Mono,2.492405417,3.19E-05
Snai1,Mono,2.421461311,3.51E-05
Cd274,Mono,2.743771599,4.41E-05
Aqp9,Mono,3.418363005,4.50E-05
Gm39556,Mono,4.170187026,4.66E-05
Eef1a1,Mono,0.848923258,4.92E-05
Gpr35,Mono,2.658386527,5.33E-05
Flna,Mono,1.056790882,5.46E-05
Rplp2,Mono,1.032131403,5.95E-05
Ifitm1,Mono,4.17832728,6.22E-05
Aldoa,Mono,1.020158631,7.99E-05
Bcl11a,Mono,4.350676089,8.70E-05
Dgkg,Mono,2.929946994,8.80E-05
Grk3,Mono,2.341846368,1.03E-04
4732465J04Rik,Mono,9.779965277,1.46E-04
Gm39321,Mono,8.20168222,1.46E-04
Ifit1bl1,Mono,6.178917501,1.54E-04
Gm17767,Mono,5.744116761,1.58E-04
Gm45238,Mono,3.421966735,1.65E-04
Jarid2,Mono,0.698957044,1.78E-04
Actg1,Mono,0.848380971,1.91E-04
Nfe2,Mono,3.795075967,2.24E-04
Lpl,Mono,1.071481959,2.32E-04
Itln1,Mono,4.667077971,2.37E-04
Col1a2,Mono,1.819001768,2.66E-04
Gm9733,Mono,4.637794511,2.81E-04
Stx11,Mono,2.662583276,2.99E-04
Ifitm6,Mono,1.799059321,3.36E-04
Gpr132,Mono,1.578115121,0.000346739
Ace,Mono,2.801580486,3.49E-04
mt-Atp6,Mono,0.698001927,3.70E-04
Il17ra,Mono,2.025591593,4.21E-04
Nr4a1,Mono,2.868735411,4.60E-04
Msrb1,Mono,1.90226394,5.11E-04
Coro1a,Mono,1.645762872,5.92E-04
Tiam1,Mono,1.732945801,6.98E-04
Gm36723,Mono,4.347146561,8.95E-04
Lrrk2,Mono,2.064492502,0.001002767
Ipcef1,Mono,2.311124392,0.001033338
Trem1,Mono,3.960495676,0.001058864
Gramd4,Mono,2.276080907,0.001120911
Btla,Mono,4.580790906,0.001491767
Samsn1,Mono,2.883337514,0.001543169
Adgrg5,Mono,3.138881666,0.001675769
mt-Nd1,Mono,0.6840564,0.001762324
Slfn4,Mono,3.157338665,0.001957586
Slc7a11,Mono,2.634331737,0.001984871
mt-Co2,Mono,0.674800293,0.002312179
Tpt1,Mono,0.762498111,0.002369427
mt-Co3,Mono,0.61631862,0.002746196
Glipr2,Mono,2.449738568,0.002775999
Slc44a2,Mono,2.033128562,0.002812784
Arhgap27os3,Mono,2.479626656,0.002820832
Dock5,Mono,1.91636795,0.002946542
Rps28,Mono,0.907142825,0.002949614
Rap1gap2,Mono,1.809014084,0.003175586
Spon1,Mono,2.259245757,0.003345114
Sema4d,Mono,1.36749725,0.003707846
Tmem26,Mono,5.277744214,0.003769613
Acap1,Mono,4.829875934,0.003904243
Cd209a,Mono,3.395017681,0.004091002
Mmp9,Mono,4.400892588,0.004888558
Gm35853,Mono,3.130995615,0.005053005
Itgb2,Mono,1.333163403,0.005179893
Gngt2,Mono,2.088078304,0.005202122
Pecam1,Mono,1.442476719,0.005274931
Cd34,Mono,1.634985908,0.005538715
Pfn1,Mono,1.044381839,0.005770126
Cd9,Mono,1.405933564,0.006765041
Rpl41,Mono,0.839739438,0.006876226
Rpl38,Mono,0.840448803,0.006922184
Krt80,Mono,1.989671317,0.00696447
Vcan,Mono,2.222754994,0.007153608
Rin3,Mono,1.817614302,0.007296452
Col1a1,Mono,1.765336121,0.007506403
Mirt2,Mono,5.650257579,0.007927504
St3gal5,Mono,2.091234984,0.008088161
Tbc1d10c,Mono,4.806971327,0.008484713
Ltb,Mono,2.938415276,0.008847492
Zfyve9,Mono,2.135003068,0.009445978
Nedd9,Mono,1.7428819,0.009746577
Rbpj,MP1,1.872383176,1.25E-59
Bank1,MP1,2.88208739,2.01E-58
F13a1,MP1,1.457441935,1.60E-47
Hdac9,MP1,1.983104329,8.80E-46
Mef2c,MP1,1.56664971,1.74E-43
Psd3,MP1,1.270874128,1.11E-42
Lifr,MP1,2.047805331,4.40E-41
C1qc,MP1,1.400245099,2.78E-40
C1qa,MP1,1.300308296,4.55E-40
Cd163,MP1,3.361755786,8.49E-39
Mrc1,MP1,1.022718932,9.43E-39
C1qb,MP1,1.26571545,1.36E-38
Abca9,MP1,2.128379058,5.68E-38
Cfh,MP1,1.3411066,2.16E-35
Slco2b1,MP1,2.288763842,4.09E-35
Tanc2,MP1,1.128661327,3.53E-33
Apoe,MP1,0.991758548,1.64E-31
Slc9a9,MP1,1.004591389,2.48E-31
Cmah,MP1,2.021436268,8.79E-30
Mir99ahg,MP1,1.137051698,4.68E-29
Hpgd,MP1,3.340684929,1.38E-28
Pde3b,MP1,1.573607347,6.65E-28
St3gal6,MP1,2.453504251,6.74E-28
Serinc3,MP1,0.939519847,7.31E-28
P3h2,MP1,3.328060633,1.93E-26
Frmd4b,MP1,0.983921984,2.09E-26
Lilra5,MP1,2.644029421,3.17E-25
Dab2,MP1,0.826514747,1.09E-21
Stard8,MP1,1.851900535,1.73E-21
Cacna1a,MP1,0.840899912,2.64E-21
Maf,MP1,0.873067144,3.38E-21
Mgl2,MP1,2.644922206,4.20E-21
Foxn3,MP1,0.905809719,5.79E-20
Stk17b,MP1,1.236266671,3.40E-19
Ssh2,MP1,1.025232222,3.98E-19
Alox5,MP1,1.759401272,1.19E-18
Immp2l,MP1,1.180794976,1.59E-18
Dlc1,MP1,1.815601891,3.25E-18
Pf4,MP1,1.380421388,3.28E-18
2610203C22Rik,MP1,1.614630344,1.74E-17
Arhgef3,MP1,1.425680165,2.57E-17
Selenop,MP1,1.032404217,2.74E-17
Arsb,MP1,1.735532055,5.76E-17
Fchsd2,MP1,1.318307031,6.02E-17
Mbnl1,MP1,0.774629305,1.21E-16
Tgfbr2,MP1,0.959865821,1.29E-16
Plxna4,MP1,1.240193644,1.74E-16
Zfhx3,MP1,0.849212817,1.86E-16
Stab1,MP1,0.771083213,2.51E-16
Itsn1,MP1,0.818630844,2.19E-15
Ophn1,MP1,0.960431978,5.34E-15
Adam19,MP1,1.214940852,5.31E-14
Ms4a6b,MP1,0.95268025,7.38E-14
App,MP1,0.54690884,1.24E-13
Fli1,MP1,0.81577443,1.69E-13
4933406I18Rik,MP1,1.208799263,2.67E-13
Ppp1r9a,MP1,1.669115951,2.92E-13
Cbr2,MP1,1.197093584,4.96E-13
E330020D12Rik,MP1,1.787444797,6.65E-13
Lyve1,MP1,0.893228772,1.09E-12
Cp,MP1,1.895926804,1.32E-12
Clcn5,MP1,1.210615159,7.66E-12
Agmo,MP1,1.355179706,9.18E-12
Ctsc,MP1,0.732834601,1.44E-11
Cd86,MP1,1.516537229,2.01E-11
Adcy9,MP1,1.451532189,1.06E-10
Epsti1,MP1,1.085787917,1.39E-10
Usp24,MP1,1.053328843,1.47E-10
Pbx3,MP1,1.263255212,1.50E-10
Ccdc50,MP1,0.974926705,1.90E-10
Prkcb,MP1,0.748308392,2.40E-10
Peli2,MP1,1.419452146,2.59E-10
Man1a,MP1,0.665025609,3.95E-10
F630028O10Rik,MP1,0.683910469,4.07E-10
Wwp1,MP1,0.753180579,4.80E-10
Snx2,MP1,0.982410107,5.22E-10
Plekhg5,MP1,1.146317176,9.17E-10
Tbc1d4,MP1,1.296905858,9.19E-10
Ighm,MP1,2.086904266,1.04E-09
Il16,MP1,1.723522305,1.10E-09
Nfxl1,MP1,1.595424246,1.59E-09
Cables1,MP1,1.579634439,1.76E-09
Ap2a2,MP1,0.613804848,2.35E-09
Magi1,MP1,1.131041802,2.83E-09
Ednrb,MP1,2.091733689,3.14E-09
Itga9,MP1,0.863037896,5.07E-09
P2ry12,MP1,1.680022343,5.09E-09
Etv1,MP1,1.636729846,5.76E-09
Clmp,MP1,1.008622431,8.96E-09
Gas6,MP1,1.163595227,9.31E-09
Csf1r,MP1,0.61603842,9.84E-09
Prkg1,MP1,1.551586259,1.10E-08
St6gal1,MP1,0.862355688,1.42E-08
Dclre1c,MP1,0.986951822,1.51E-08
Wdfy2,MP1,0.925986975,1.80E-08
Prune2,MP1,1.155037796,2.05E-08
Fhit,MP1,2.123790255,2.33E-08
Dse,MP1,0.984833861,2.77E-08
Sbf2,MP1,0.709911022,4.15E-08
Slc16a7,MP1,1.212818783,4.25E-08
Zswim6,MP1,0.41597425,6.78E-08
Gas7,MP1,0.982135786,7.76E-08
P2ry6,MP1,0.668012325,8.23E-08
Rnf169,MP1,0.581022319,9.08E-08
Gm31243,MP1,2.379348739,1.06E-07
Fam117b,MP1,0.979525192,1.40E-07
Dip2c,MP1,0.83246791,1.76E-07
Sult1a1,MP1,1.861469943,2.02E-07
Cst3,MP1,0.510548798,2.10E-07
Tmcc1,MP1,0.555088265,3.17E-07
P2rx7,MP1,1.242691535,6.32E-07
Timd4,MP1,1.473718818,6.51E-07
Cd33,MP1,0.605492038,8.20E-07
Tcf4,MP1,0.553444417,1.02E-06
Ppp3ca,MP1,0.513320408,1.13E-06
Nhsl2,MP1,1.522869112,1.22E-06
Ralgps2,MP1,1.461803133,1.26E-06
Slc15a2,MP1,2.775620221,1.55E-06
Cltc,MP1,0.649737523,1.88E-06
Gatm,MP1,0.749947668,2.39E-06
Mtr,MP1,1.127610735,3.09E-06
Ltc4s,MP1,1.321706015,3.18E-06
Rhobtb1,MP1,1.431409179,3.24E-06
Pten,MP1,0.754383786,3.31E-06
Rtn1,MP1,1.576617136,3.43E-06
Eps15,MP1,0.82524691,4.46E-06
Fnbp1,MP1,0.644511522,4.90E-06
Evi5,MP1,1.092765392,5.11E-06
Fcgrt,MP1,1.053808064,7.11E-06
Pepd,MP1,0.929779766,9.33E-06
Susd1,MP1,2.002823761,1.03E-05
Wdfy3,MP1,0.497546215,1.17E-05
Stxbp6,MP1,0.980008929,1.18E-05
Fer,MP1,0.887616963,1.39E-05
Gm30489,MP1,2.2036128,1.48E-05
Ctnnd2,MP1,1.791792554,1.56E-05
Aoah,MP1,0.765360677,1.90E-05
Arhgap18,MP1,0.659087578,2.11E-05
Gm4951,MP1,1.022000803,2.12E-05
Pola1,MP1,1.36749657,2.31E-05
Glcci1,MP1,1.570647133,2.82E-05
Ap1b1,MP1,0.942589822,3.07E-05
Zfp36l1,MP1,0.924564946,3.55E-05
Man2a1,MP1,0.583511173,3.57E-05
Lyz2,MP1,0.486701647,3.60E-05
Ust,MP1,0.723800658,3.74E-05
Ndfip1,MP1,0.690820506,3.80E-05
Ttc28,MP1,1.202855678,3.90E-05
Rgs7bp,MP1,3.331367265,3.98E-05
Cd74,MP1,0.415332238,4.23E-05
Ddx60,MP1,1.324177029,4.33E-05
Lrp6,MP1,0.921137652,4.64E-05
Dleu2,MP1,0.436522165,4.73E-05
Sema6d,MP1,1.302450297,4.87E-05
Runx1,MP1,0.67059443,5.64E-05
Pvt1,MP1,1.061499655,5.71E-05
Itm2b,MP1,0.458218402,7.65E-05
Trf,MP1,0.874652993,7.93E-05
Gm49144,MP1,1.936045984,8.03E-05
Tcf12,MP1,0.648353973,8.28E-05
Thrb,MP1,1.912307756,9.55E-05
Ldlrad4,MP1,0.412570354,1.64E-04
H2-Eb1,MP1,1.814821404,1.75E-04
Mon2,MP1,0.752096939,1.89E-04
Gdi2,MP1,0.642880196,2.20E-04
Reps2,MP1,0.737775415,2.31E-04
Colec12,MP1,1.009330059,2.31E-04
Snx6,MP1,0.965626181,2.35E-04
Eps8,MP1,0.691892616,2.71E-04
Hrh1,MP1,1.340799627,3.48E-04
Fgd2,MP1,0.996530423,4.00E-04
Tm6sf1,MP1,0.480220651,4.31E-04
Serpinb8,MP1,1.057095168,5.03E-04
Zdhhc14,MP1,0.688386697,5.75E-04
Dock1,MP1,0.665744196,5.79E-04
Cyp27a1,MP1,1.155954505,5.80E-04
Tbc1d14,MP1,0.695312447,5.83E-04
Ptpn18,MP1,1.439872683,6.09E-04
3-Mar,MP1,0.894905195,6.12E-04
Gnaq,MP1,0.401177489,6.66E-04
Ank2,MP1,1.117765679,9.18E-04
Adam33,MP1,1.299438409,9.44E-04
Cd81,MP1,0.498486326,0.001018996
Entpd1,MP1,0.441381572,0.001071902
Tbxas1,MP1,0.506932908,0.001086493
Fggy,MP1,1.381738045,0.001126299
Ntpcr,MP1,1.327526623,0.0011525
Pros1,MP1,0.931177115,0.001243325
Ms4a4a,MP1,0.548177851,0.001456058
Nr3c2,MP1,1.649257476,0.001485132
Zbtb16,MP1,0.765263375,0.00151291
Celf4,MP1,2.218300835,0.001770533
Tnfaip8,MP1,0.694120068,0.001884483
Abcb1b,MP1,1.412258561,0.001886794
Mtdh,MP1,0.597598496,0.00193117
Zbtb20,MP1,0.32656894,0.002096435
Meis1,MP1,1.823062887,0.002258091
Comt,MP1,0.896566301,0.00240582
Nlrc4,MP1,0.876721281,0.002538549
Tcn2,MP1,0.613168666,0.002568399
Foxp1,MP1,0.394009525,0.002681364
Tmem176b,MP1,0.799012137,0.002871489
Tasor,MP1,0.738578948,0.003264587
Ppp1r21,MP1,0.886594951,0.00328132
Gng2,MP1,0.648051541,0.003351393
Gm26740,MP1,0.581845803,0.003542394
Dgkd,MP1,0.563449553,0.003770267
Sgce,MP1,1.52510782,0.003801926
Cep68,MP1,1.330376296,0.00408124
Folr2,MP1,1.206365377,0.004160727
Slamf9,MP1,1.027395763,0.004302728
Rap1gds1,MP1,0.494046407,0.004328661
Myo5a,MP1,0.462553914,0.004616058
Gpr34,MP1,1.49857799,0.00514066
Enox2,MP1,0.575458693,0.005818701
Nfia,MP1,0.475946573,0.005859977
Wdpcp,MP1,1.281466762,0.00603391
Rock2,MP1,0.366431933,0.006225502
Fcrls,MP1,0.525559,0.006424896
Rasgrp3,MP1,1.242915864,0.007468323
AC149090.1,MP1,0.610019412,0.007788792
Ext1,MP1,0.419971709,0.008135143
Fam129a,MP1,0.894560651,0.008878249
Mapk14,MP1,0.583491678,0.009560537
Arhgap24,MP2,2.128120862,3.67E-43
Ms4a7,MP2,2.298667617,1.00E-42
St18,MP2,2.47650676,4.84E-41
Gpnmb,MP2,2.550944814,2.88E-39
Apobec1,MP2,1.650588994,1.42E-28
Gm50020,MP2,4.724215946,2.59E-27
Ms4a14,MP2,2.637645329,9.64E-27
Cd84,MP2,1.699541245,2.71E-24
Adra1a,MP2,2.835947262,2.25E-23
Hpgds,MP2,1.549542931,4.56E-23
Cadm1,MP2,1.599532177,1.49E-22
Col3a1,MP2,1.023366679,3.65E-22
Pnpla7,MP2,1.704364797,6.42E-22
Gm13710,MP2,2.28124002,4.97E-21
Col1a1,MP2,0.917606927,5.06E-21
Mgat5,MP2,1.444295373,4.63E-20
Atp13a2,MP2,1.531939827,1.19E-19
Nav2,MP2,1.731963984,1.27E-19
