Gene_symbol,Cell_type,Mean_log2_fold_change,Adjusted_p_value
Pxn,MP4,1.961898679,9.79E-14
Trib1,MP4,2.309613542,2.18E-13
Cebpb,MP4,1.991854048,3.80E-13
Mef2a,MP4,1.488590619,1.57E-12
Jdp2,MP4,2.177328867,2.80E-12
Rhbdf2,MP4,2.532376471,9.92E-12
Clic4,MP4,1.947301127,1.37E-11
Phlda1,MP4,3.320974611,1.68E-11
Pfkfb3,MP4,2.317843043,2.47E-11
Ccny,MP4,1.901378991,2.48E-11
C5ar1,MP4,1.831546842,4.97E-11
Malat1,MP4,0.764322146,6.85E-11
Pdlim5,MP4,1.629137727,1.66E-10
Cdkn1a,MP4,2.312495861,1.91E-10
Lrrfip1,MP4,2.010103131,2.60E-10
Dok2,MP4,1.993631375,3.30E-10
Tubb6,MP4,2.375628832,8.08E-10
App,MP4,1.500860065,1.26E-09
B4galt1,MP4,2.318618614,2.07E-09
Gm14636,MP4,3.238297683,2.73E-09
Hes1,MP4,2.886644068,4.76E-09
Gm17268,MP4,3.057025144,6.79E-09
Cdk14,MP4,1.376219571,7.16E-09
Ap2a2,MP4,1.466542915,1.05E-08
Man2a1,MP4,1.566450446,1.44E-08
Itgam,MP4,1.899988387,3.36E-08
Ier2,MP4,2.048616876,3.91E-08
Afap1l1,MP4,1.93255987,5.31E-08
Areg,MP4,5.852520363,5.61E-08
Zfc3h1,MP4,1.585446248,7.54E-08
Stk40,MP4,1.801999301,9.55E-08
Srgap2,MP4,1.313530017,1.00E-07
Zfand3,MP4,1.451401065,1.08E-07
Itgb2,MP4,1.546414846,1.09E-07
Arhgap23,MP4,2.257333044,1.10E-07
Junb,MP4,1.947268642,1.19E-07
B4galt5,MP4,1.5887728,1.38E-07
Myh9,MP4,1.417438398,1.56E-07
Syne3,MP4,2.263931637,3.03E-07
Mfhas1,MP4,1.613721266,3.21E-07
Cbr2,MP4,1.428594475,3.31E-07
Mt2,MP4,2.912369138,5.59E-07
Cwc22,MP4,1.477474449,1.18E-06
Ehd1,MP4,1.821556689,1.43E-06
Abl2,MP4,1.565943399,1.67E-06
Alcam,MP4,2.057705992,2.46E-06
F13a1,MP4,1.215669034,3.19E-06
Nfatc2,MP4,1.856105101,4.10E-06
Ccl12,MP4,1.951052922,4.20E-06
Sh3pxd2b,MP4,1.497700844,4.47E-06
Zswim6,MP4,1.272265251,4.55E-06
Stab1,MP4,1.080739618,4.67E-06
Tln1,MP4,1.274293197,4.69E-06
Cacna1a,MP4,1.0235605,6.95E-06
Adgrg6,MP4,1.747406275,9.07E-06
Fosl2,MP4,1.861250471,1.11E-05
Hif3a,MP4,2.498571347,1.13E-05
Dab2,MP4,0.967925512,1.14E-05
Cmip,MP4,1.172840519,1.28E-05
Oxr1,MP4,1.97667122,1.29E-05
Ccl24,MP4,2.47835953,1.41E-05
Nfkbia,MP4,1.489431377,1.45E-05
Capzb,MP4,1.143905247,2.58E-05
Dagla,MP4,2.392594031,3.27E-05
Rnf169,MP4,1.225220074,3.41E-05
Ubtd1,MP4,1.671119044,3.81E-05
S100a10,MP4,1.829216579,4.67E-05
Sh3bp2,MP4,1.398503093,7.08E-05
Bcl2l1,MP4,1.503891707,7.94E-05
Ccl9,MP4,1.605351324,1.03E-04
Trip12,MP4,1.264510232,1.03E-04
Rap1b,MP4,0.950887101,1.26E-04
Cd44,MP4,1.360644845,1.40E-04
Adgre5,MP4,0.994624779,1.45E-04
Ap2b1,MP4,1.548342657,1.49E-04
Pitpna,MP4,1.277974891,1.54E-04
Lima1,MP4,1.480934986,1.59E-04
Pid1,MP4,0.934119143,1.62E-04
Tmod1,MP4,1.456122887,1.77E-04
Rin2,MP4,1.868441382,1.79E-04
Mir22hg,MP4,1.882362605,1.96E-04
Gm22146,MP4,2.73987724,2.04E-04
Slfn2,MP4,1.51782474,2.07E-04
Per1,MP4,1.237103865,2.15E-04
Pmp22,MP4,1.42678459,2.49E-04
Fcer1g,MP4,1.199763925,3.27E-04
Parvb,MP4,1.907414155,3.35E-04
Fgfr1,MP4,1.664381214,3.49E-04
Klf13,MP4,1.350477656,3.66E-04
Mtdh,MP4,1.250717877,3.84E-04
Psd3,MP4,1.014070311,4.17E-04
Ccl2,MP4,2.440626336,4.25E-04
Chd7,MP4,1.537157475,4.41E-04
4631405J19Rik,MP4,3.827768401,4.88E-04
Vcl,MP4,2.322046034,4.93E-04
Pacsin2,MP4,1.146590796,5.00E-04
Capn2,MP4,1.601835851,5.00E-04
Sytl1,MP4,2.985581423,6.35E-04
Nab2,MP4,2.036480167,8.88E-04
Camkk2,MP4,1.701059973,9.66E-04
Hivep2,MP4,1.250349653,0.001007848
Vav3,MP4,0.956766403,0.001120588
Klf10,MP4,1.722301866,0.001173288
Mctp2,MP4,2.166974524,0.001188468
Slk,MP4,1.28267633,0.001301036
Egr1,MP4,2.296938972,0.001408888
Picalm,MP4,0.810548758,0.001410611
Tspan14,MP4,1.558679588,0.001455417
Wasf2,MP4,1.191227841,0.001758553
Orai1,MP4,1.441761078,0.001767135
Gm4610,MP4,7.596898338,0.001929701
Gm15234,MP4,6.927680768,0.001929701
Kcnab3,MP4,6.732495292,0.001929701
Gm45774,MP4,6.333507991,0.001929701
Gm11707,MP4,6.224553211,0.001929701
Gm35060,MP4,5.850571199,0.001929701
Pag1,MP4,1.225051623,0.001939355
Midn,MP4,1.740459808,0.001975849
Ms4a6d,MP4,1.455163413,0.002159676
Colec12,MP4,0.972708447,0.002282556
Ptpn12,MP4,0.942640233,0.002311823
Riok2,MP4,2.153311429,0.00236766
Pald1,MP4,2.19613425,0.002374409
Notch1,MP4,1.497108893,0.00284165
Smurf1,MP4,1.35652337,0.003124588
Dlgap4,MP4,1.248667917,0.003228969
Ubp1,MP4,1.489044939,0.003419697
Cbfb,MP4,1.284067437,0.004332576
Wdr26,MP4,0.942485832,0.004491184
Kdm7a,MP4,1.163498471,0.005481935
Tbc1d10a,MP4,2.153016714,0.005764835
Gm43728,MP4,2.368167152,0.006147741
Ipo7,MP4,1.327988261,0.006157892
Spaca6,MP4,2.242310693,0.006252907
Sh3pxd2a,MP4,1.772209219,0.006374738
Dapk1,MP4,1.232471755,0.006897145
Ncf2,MP4,1.268656474,0.007450256
Rbms1,MP4,0.902038305,0.008283663
Itga5,MP4,1.485117712,0.008651211
Skap1,TC,5.451517065106486,1.5799960902376582e-29
Gm2682,TC,6.395993123,6.628215502937291e-22
Itk,TC,6.170574506535492,7.6791933698317e-21
Prkcq,TC,6.378105376847429,5.881106170965245e-20
Cd247,TC,5.853961300317793,3.6032333863229707e-16
Fyb,TC,3.22488813,1.8096745531841126e-14
Il7r,TC,5.132371315023114,2.826907109312824e-14
Bcl11b,TC,6.546548979591096,2.6537001162010285e-13
Txk,TC,5.472667415703442,9.96543311418612e-13
Pitpnc1,TC,2.080163527705845,4.0237454495291144e-12
Ppm1h,TC,3.0669307907611545,6.145986640767156e-12
Tox,TC,5.575767129126314,1.762249031220857e-11
Themis,TC,5.661286375112231,8.596792488832698e-11
Lef1,TC,5.415834631248014,8.627021886763958e-11
Trbc1,TC,5.218348967119413,5.190615814485431e-10
Emb,TC,3.840709828455725,5.477704282202706e-10
Trbc2,TC,8.412820356976152,6.548313633122375e-10
Tcf7,TC,6.818067317,7.662243710198609e-10
Cd3e,TC,5.720708739183001,1.0281750753379899e-9
Camk4,TC,4.567395028659535,1.2297155787941412e-9
Utrn,TC,2.160308925307604,5.438181944271315e-9
Selplg,TC,2.2718344002823385,8.102717711888348e-9
Znrf3,TC,3.150759683722006,9.82678079854706e-9
Slc9a9,TC,2.398415540716649,1.0404174788858894e-8
Rinl,TC,6.055591965877427,1.1870330729213342e-8
Ipcef1,TC,3.8177346653405477,5.337605166841498e-8
Cd226,TC,6.842229608750061,8.251034081691157e-8
Tnik,TC,2.2295124116234626,2.920496908592904e-7
Prkch,TC,2.8128440227690845,2.968259666966651e-7
Cd3g,TC,6.925168293464478,3.6202504224457577e-7
Atp1b3,TC,3.412049099365186,3.6758246968070386e-7
Slco3a1,TC,3.1235071054941077,3.906972562595773e-7
Iqgap2,TC,3.416245181956265,1.3026819965395386e-06
Il18r1,TC,5.775879511350757,1.4964854734973783e-6
Lcp2,TC,4.677262987519151,2.7298805828266114e-6
Sidt1,TC,3.5579749479138245,3.6597936162538602e-6
Lck,TC,3.1578431342972695,6.447347920839772e-6
Fyn,TC,1.309043051301052,1.695627895731636e-5
Fxyd5,TC,2.9327475324660157,2.8145318194594035e-5
Ccnd2,TC,3.342286642335975,4.0633145608656136e-5
Sntb1,TC,4.024666605514967,5.531677855676981e-5
Nsd3,TC,1.4375643083040428,5.684120540689941e-5
Saraf,TC,2.8703427054923507,4.7217320832561787e-4
Aak1,TC,1.5825234946347497,6.740180434542851e-4
Atp8b4,TC,3.1102752898203203,9.878391974841114e-4
Mllt3,TC,1.6132188901611655,0.001320836
Znrf1,TC,2.0937156129646426,0.001340616
Ikzf2,TC,6.997701637123193,0.001524971
Kif1b,TC,2.102069383928658,0.00180699
Faah,TC,3.9011736089771865,0.002498527
Pik3r5,TC,2.3544522941520984,0.002910592
Stk39,TC,3.2212465400276518,0.003060971
B2m,TC,1.0207624824709716,0.00383481
Abtb2,TC,3.719599754606274,0.004175068
Ms4a4b,TC,2.8499870687364917,0.004435712
Cd28,TC,6.426275366506618,0.00466647
Cd3d,TC,4.612660596483123,0.005494249
Npc2,TC,2.9807926514055376,0.006813704
Cd96,TC,4.093070111248621,0.00726806
Bank1,BC,7.603349627610427,9.594771590387998e-35
Ebf1,BC,5.210691824680154,9.290008370014435e-31
Mef2c,BC,4.500141957117768,2.72103380117968e-30
Igkc,BC,7.481649146119522,2.3372374545057675e-29
Pax5,BC,7.630774068979349,4.246730840431194e-29
Cd74,BC,4.542173603124874,3.2473309508701755e-28
Wdfy4,BC,6.199546216,1.038370355942142e-26
Syk,BC,4.061407468007587,2.589183069247409e-26
Ighm,BC,4.874781938047336,7.213092047159286e-26
Lyn,BC,3.929943069357686,1.8329590760607903e-25
Ighd,BC,6.869044989770679,2.0605937494168562e-24
Cd79a,BC,5.918564811667916,1.3583433957150914e-22
Blnk,BC,6.083388149446161,1.6053146540696372e-22
Bcl11a,BC,8.104961791073546,1.7819478452383731e-22
1-Mar,BC,6.628015866923531,9.2180314961756e-22
H2-Aa,BC,4.326317919867467,8.92892875830377e-21
Gm15987,BC,6.1959845651416545,2.6004672886180366e-20
Ralgps2,BC,3.324770804345098,7.165803890392036e-20
H2-Ab1,BC,4.122075177463584,3.3283949654592182e-19
Cd79b,BC,5.036559788808374,6.227124075130804e-19
Iglc2,BC,9.307722841541949,9.883611827813238e-19
Siglecg,BC,8.909500015812554,6.061032366682987e-17
Btk,BC,5.5570740845929505,5.724192026087413e-16
Lrrk2,BC,4.497027646292371,1.1010880078785082e-15
H2-Ob,BC,4.5256660085539995,1.3402142796783441e-14
Chst3,BC,6.677657378029573,1.5028826135161724e-14
Fchsd2,BC,3.065511262259548,1.5055340734852238e-14
Pou2f2,BC,4.356227181977633,1.6745480473811633e-14
Gm30211,BC,9.175448751254661,2.2619434287962462e-14
Ms4a1,BC,7.798218022798267,2.8756498327882104e-14
Gm49980,BC,3.6397495003928686,2.0353419048119463e-13
Cd22,BC,8.470052657463672,3.918520814998621e-13
Iglc3,BC,7.280358703712137,5.254078250331776e-13
Prkcb,BC,2.0352630900126463,9.951399029654157e-13
Cd19,BC,8.501459048388316,9.981836784478152e-13
Snx9,BC,4.689743481578033,1.184134583758698e-12
Slc12a6,BC,2.0431189091912936,1.5975740195384975e-12
Unc93b1,BC,3.2571786814531665,1.7774516361229632e-12
Cd37,BC,2.5236391577594874,1.954673079850277e-12
Slc9a7,BC,3.3340044458407694,2.265795112122364e-12
Ly86,BC,6.960627216566084,3.934497598675126e-12
Cd55,BC,2.7384832014945806,1.0058463463332283e-11
Pou2af1,BC,6.204604497733688,3.051936369941007e-11
Aff3,BC,1.7059366208882087,3.74680762442324e-11
Baz2b,BC,1.980507078800808,8.135540496135664e-11
Ptprj,BC,3.003965417836015,9.34942952792279e-11
Snx2,BC,2.543208948656425,1.258972451944231e-10
Myo1e,BC,2.2709108733471095,1.5402266318836854e-10
Cd180,BC,8.271270325832646,2.3266350506788258e-10
Fcrla,BC,3.702674348337135,2.5553108952465005e-10
Cr2,BC,5.917172492494499,2.8627270040876114e-10
Ciita,BC,5.271558352085128,3.451865036491193e-10
H2-DMb2,BC,8.119367032850711,5.62497958746745e-10
Bcar3,BC,5.084042009019658,5.989190303566344e-10
Pgap1,BC,2.9223157268065854,6.894362566766368e-10
Kynu,BC,6.139261359763026,5.814132330836608e-9
Fcer2a,BC,8.208677452484931,7.616899325935251e-9
Snx29,BC,2.6602076977528677,1.6967451310695855e-8
Lmbrd1,BC,2.6918518646379974,1.7859204525177203e-8
Snx8,BC,4.079174366744796,2.136154169922006e-8
Gm31243,BC,4.179487318055769,2.7083837776802498e-8
Btla,BC,2.7264705617815976,2.7181512030456772e-8
Prkce,BC,2.103362658505437,4.17532279343542e-8
Fcrl1,BC,8.073478501062452,4.179492785756666e-8
Plcg2,BC,2.7360118139204985,2.501927341035308e-7
Birc3,BC,2.034113935582888,3.203536926528592e-7
Swap70,BC,2.994107998753906,3.4850386619605385e-7
Zfp318,BC,3.8992130367006284,3.664083779706627e-7
Man1a,BC,1.6343455268084464,4.3619188213299904e-7
Blk,BC,2.242019797474304,4.649948605167688e-7
Notch2,BC,2.8296743611654374,5.01369973569046e-7
Cxcr5,BC,7.918523810621136,5.107430670374473e-7
Pik3ap1,BC,2.5940108163282605,1.1174098465168057e-6
Napsa,BC,3.8916935971892688,1.5623210265860683e-6
Arhgap24,BC,4.385966519139799,1.624438452955396e-6
Plekhm3,BC,3.0664682899359006,2.0017398951388806e-6
Ikzf3,BC,1.3805583135471677,2.361444197852222e-6
Pxk,BC,2.4161099931110095,2.6041813903643402e-6
2010309G21Rik,BC,8.144849984,2.6225294511979657e-6
Kmo,BC,5.384962355115009,3.6266850133332593e-6
Setbp1,BC,2.0312015214200247,4.019006030973154e-6
Myo5a,BC,2.826395868295121,4.098890974132728e-6
Snx30,BC,2.889540094756817,4.286542160100458e-6
Dok3,BC,4.822074423,4.370395781515044e-6
Arhgap17,BC,2.282845858605742,4.472099461605797e-6
Serinc3,BC,1.488220782041892,4.71017863033575e-6
Fcmr,BC,7.747486020586137,5.88617009620363e-6
Dennd5b,BC,3.1524220337753643,9.835424840969973e-6
Txndc16,BC,2.3398315816639426,9.90056526362132e-6
Gm11342,BC,3.974491413116885,1.4720837854322429e-5
Abhd17b,BC,2.306843269528914,2.057708757333813e-5
H2-Eb1,BC,3.417301903,2.276694352953108e-5
Smim14,BC,2.261012200323145,2.3407188252365304e-5
Ly6d,BC,7.918441348622577,2.910482745691142e-5
Stap1,BC,2.529236736608093,3.063524220454484e-5
Gm43388,BC,5.326257649435645,3.284376519768336e-5
Ero1lb,BC,2.9076048489390036,4.628566361560097e-5
Cd38,BC,5.026532090446289,6.213436323944373e-5
Dmxl1,BC,1.6698635949455016,8.199445607793928e-5
Sorl1,BC,2.3186446908386995,8.765492842277187e-5
Gga2,BC,4.345224800415609,9.546135172686162e-5
Rasgrp3,BC,3.563089216037664,1.1801899270771426e-4
H2-DMb1,BC,4.644555797437684,1.2924188059705599e-4
Myo1c,BC,2.628323382,1.6786521240302774e-4
Rnf216,BC,2.0438285175078743,1.7255357620065982e-4
St3gal1,BC,1.8374012254702041,2.5377549480981706e-4
Zfp608,BC,2.5229949293376097,2.846202248144128e-4
Immp2l,BC,1.7552205786391533,2.99648273890798e-4
Ppp3ca,BC,1.0099255671931444,3.3588611876848916e-4
Tmcc3,BC,2.341660485910335,5.086955304309502e-4
Mtss1,BC,1.8235608596981079,5.681988839249997e-4
Gm15675,BC,2.844979544622882,6.46224081797349e-4
Trim7,BC,5.335198663549122,6.500219198822935e-4
Gm47782,BC,3.874678453470225,6.869580320632038e-4
Susd1,BC,4.1887433959183165,7.571900668842562e-4
Haao,BC,3.822163233171461,8.350567672285e-4
Csnk1g3,BC,1.5250583663230812,9.026249132888582e-4
Tmem163,BC,2.532137807922912,9.577518248431794e-4
Icosl,BC,4.223056100953399,9.973957286595586e-4
Kcnq5,BC,1.1344384933052654,0.001014941
Bach2,BC,0.9312767345517443,0.001186696
Pld4,BC,3.464752421863449,0.001250287
Uvrag,BC,1.4657051580744556,0.001318917
Plekha2,BC,1.9671261910301707,0.001942181
Cacna1e,BC,1.5091827343528708,0.002097767
B3gnt5,BC,3.0484235843052256,0.002415669
Cyb561a3,BC,3.772777527858242,0.002673431
Fcgr2b,BC,5.9307817198498585,0.002797215
Ms4a4c,BC,4.711063947221898,0.002861374
Tnfrsf13b,BC,3.9818198163014973,0.003750884
Apobec1,BC,3.0676562905790927,0.004023421
Tcf4,BC,1.5187455548936193,0.004215693
Cecr2,BC,3.5258944599308943,0.004922931
Malt1,BC,1.4878601979229664,0.005088567
Fgd2,BC,5.004807479940821,0.00557502
Lpgat1,BC,1.9474832913068447,0.005865193
Plekho1,BC,2.5817894998354554,0.006924456
Ctsh,BC,3.0943519676527056,0.007822089
Hck,BC,3.261942571378602,0.008758116
Cybb,BC,3.7365704571570952,0.009171061
Scd1,BC,3.3151879514505067,0.009173734
